service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1288718,20110711,20111002,0,0,0,0,0,1,0
1288719,20110711,20111002,0,0,0,0,0,1,0
1258506,20110711,20111002,0,0,0,0,0,1,0
1259134,20110711,20111002,0,0,0,0,0,1,0
1231468,20110404,20110710,0,0,0,0,0,0,1
1231469,20110404,20110710,0,0,0,0,0,0,1
1231466,20110404,20110710,0,0,0,0,0,0,1
1231467,20110404,20110710,0,0,0,0,0,0,1
1231464,20110404,20110710,0,0,0,0,0,0,1
1231465,20110404,20110710,0,0,0,0,0,0,1
1231462,20110404,20110710,0,0,0,0,0,0,1
1231463,20110404,20110710,0,0,0,0,0,0,1
1231460,20110404,20110710,0,0,0,0,0,0,1
1231461,20110404,20110710,0,0,0,0,0,0,1
1288817,20110711,20111002,1,1,1,1,1,0,0
1257726,20110711,20111002,0,0,0,0,0,0,1
1258507,20110711,20111002,0,0,0,0,0,1,0
1260760,20110711,20111002,1,1,1,1,1,0,0
1288710,20110711,20111002,0,0,0,0,0,1,0
1259157,20110711,20111002,0,0,0,0,0,1,0
1288711,20110711,20111002,0,0,0,0,0,1,0
1288712,20110711,20111002,0,0,0,0,0,1,0
1288713,20110711,20111002,0,0,0,0,0,1,0
1288714,20110711,20111002,0,0,0,0,0,1,0
1258897,20110711,20111002,1,1,1,1,1,0,0
1288715,20110711,20111002,0,0,0,0,0,1,0
1288716,20110711,20111002,0,0,0,0,0,1,0
1288717,20110711,20111002,0,0,0,0,0,1,0
1258501,20110711,20111002,1,1,1,1,1,0,0
1257408,20110711,20111002,1,1,1,1,1,0,0
1260515,20110711,20111002,1,1,1,1,1,0,0
1227810,20110404,20110710,0,0,0,0,0,0,1
1227811,20110404,20110710,0,0,0,0,0,0,1
1227812,20110404,20110710,0,0,0,0,0,0,1
1227813,20110404,20110710,0,0,0,0,0,0,1
1227814,20110404,20110710,0,0,0,0,0,0,1
1227815,20110404,20110710,0,0,0,0,0,0,1
1227816,20110404,20110710,0,0,0,0,0,0,1
1227817,20110404,20110710,0,0,0,0,0,0,1
1227818,20110404,20110710,0,0,0,0,0,0,1
1227819,20110404,20110710,0,0,0,0,0,0,1
1288305,20110711,20111002,1,1,1,1,1,0,0
1257024,20110711,20111002,1,1,1,1,1,0,0
1256260,20110711,20111002,0,0,0,0,0,1,0
1256264,20110711,20111002,0,0,0,0,0,1,0
1256268,20110711,20111002,0,0,0,0,0,1,0
1288476,20110711,20111002,1,1,1,1,1,0,0
1230229,20110404,20110710,0,0,0,0,0,1,0
1230228,20110404,20110710,0,0,0,0,0,1,0
1230223,20110404,20110710,0,0,0,0,0,1,0
1230222,20110404,20110710,0,0,0,0,0,1,0
1230221,20110404,20110710,0,0,0,0,0,1,0
1230220,20110404,20110710,0,0,0,0,0,1,0
1230227,20110404,20110710,0,0,0,0,0,1,0
1230226,20110404,20110710,0,0,0,0,0,1,0
1230225,20110404,20110710,0,0,0,0,0,1,0
1230224,20110404,20110710,0,0,0,0,0,1,0
1256719,20110711,20111002,1,1,1,1,1,0,0
1257057,20110711,20111002,1,1,1,1,1,0,0
1227728,20110404,20110710,0,0,0,0,0,0,1
1227729,20110404,20110710,0,0,0,0,0,0,1
1227726,20110404,20110710,0,0,0,0,0,0,1
1227727,20110404,20110710,0,0,0,0,0,0,1
1227724,20110404,20110710,0,0,0,0,0,0,1
1227725,20110404,20110710,0,0,0,0,0,0,1
1227722,20110404,20110710,0,0,0,0,0,0,1
1227723,20110404,20110710,0,0,0,0,0,0,1
1227720,20110404,20110710,0,0,0,0,0,0,1
1227721,20110404,20110710,0,0,0,0,0,0,1
1260859,20110711,20111002,0,0,0,0,0,1,0
1232796,20110404,20110710,1,1,1,1,1,0,0
1260858,20110711,20111002,0,0,0,0,0,1,0
1232858,20110404,20110710,0,0,0,0,0,1,0
1262637,20110711,20111002,1,1,1,1,1,0,0
1262369,20110711,20111002,0,0,0,0,0,1,0
1262368,20110711,20111002,0,0,0,0,0,1,0
1260511,20110711,20111002,1,1,1,1,1,0,0
1262361,20110711,20111002,0,0,0,0,0,1,0
1262360,20110711,20111002,0,0,0,0,0,1,0
1262363,20110711,20111002,0,0,0,0,0,1,0
1262362,20110711,20111002,0,0,0,0,0,1,0
1262365,20110711,20111002,0,0,0,0,0,1,0
1262364,20110711,20111002,0,0,0,0,0,1,0
1262367,20110711,20111002,0,0,0,0,0,1,0
1262366,20110711,20111002,0,0,0,0,0,1,0
1264423,20110711,20111002,0,0,0,0,0,0,1
1288607,20110711,20111002,0,0,0,0,0,1,0
1260853,20110711,20111002,0,0,0,0,0,1,0
1258891,20110711,20111002,1,1,1,1,1,0,0
1260852,20110711,20111002,0,0,0,0,0,1,0
1260512,20110711,20111002,1,1,1,1,1,0,0
1262578,20110711,20111002,1,1,1,1,1,0,0
1232036,20110404,20110710,1,1,1,1,1,0,0
1260102,20110711,20111002,0,0,0,0,0,0,1
1260513,20110711,20111002,1,1,1,1,1,0,0
1258038,20110711,20111002,0,0,0,0,0,0,1
1257243,20110711,20111002,0,0,0,0,0,0,1
1260104,20110711,20111002,0,0,0,0,0,0,1
1258715,20110711,20111002,1,1,1,1,1,0,0
1259268,20110711,20111002,0,0,0,0,0,0,1
1259269,20110711,20111002,0,0,0,0,0,0,1
1259918,20110711,20111002,0,0,0,0,0,0,1
1259919,20110711,20111002,0,0,0,0,0,0,1
1259262,20110711,20111002,0,0,0,0,0,0,1
1259263,20110711,20111002,0,0,0,0,0,0,1
1259260,20110711,20111002,0,0,0,0,0,0,1
1259261,20110711,20111002,0,0,0,0,0,0,1
1259266,20110711,20111002,0,0,0,0,0,0,1
1259267,20110711,20111002,0,0,0,0,0,0,1
1259264,20110711,20111002,0,0,0,0,0,0,1
1259265,20110711,20111002,0,0,0,0,0,0,1
1229575,20110404,20110710,0,0,0,0,0,1,0
1229574,20110404,20110710,0,0,0,0,0,1,0
1229577,20110404,20110710,0,0,0,0,0,1,0
1229576,20110404,20110710,0,0,0,0,0,1,0
1229571,20110404,20110710,0,0,0,0,0,1,0
1229570,20110404,20110710,0,0,0,0,0,1,0
1229573,20110404,20110710,0,0,0,0,0,1,0
1229572,20110404,20110710,0,0,0,0,0,1,0
1229579,20110404,20110710,0,0,0,0,0,1,0
1229578,20110404,20110710,0,0,0,0,0,1,0
1228165,20110404,20110710,1,1,1,1,1,0,0
1228164,20110404,20110710,1,1,1,1,1,0,0
1228167,20110404,20110710,1,1,1,1,1,0,0
1228166,20110404,20110710,1,1,1,1,1,0,0
1228161,20110404,20110710,1,1,1,1,1,0,0
1228160,20110404,20110710,1,1,1,1,1,0,0
1228163,20110404,20110710,1,1,1,1,1,0,0
1228162,20110404,20110710,1,1,1,1,1,0,0
1257611,20110711,20111002,0,0,0,0,0,1,0
1257610,20110711,20111002,0,0,0,0,0,1,0
1257613,20110711,20111002,0,0,0,0,0,1,0
1257612,20110711,20111002,0,0,0,0,0,1,0
1228169,20110404,20110710,1,1,1,1,1,0,0
1228168,20110404,20110710,1,1,1,1,1,0,0
1257617,20110711,20111002,0,0,0,0,0,1,0
1257616,20110711,20111002,0,0,0,0,0,1,0
1263098,20110711,20111002,0,0,0,0,0,1,0
1263099,20110711,20111002,0,0,0,0,0,1,0
1260211,20110711,20111002,0,0,0,0,0,1,0
1233629,20110404,20110710,0,0,0,0,0,1,0
1234148,20110404,20110710,1,1,1,1,1,0,0
1234149,20110404,20110710,1,1,1,1,1,0,0
1234146,20110404,20110710,1,1,1,1,1,0,0
1234147,20110404,20110710,1,1,1,1,1,0,0
1234144,20110404,20110710,1,1,1,1,1,0,0
1234145,20110404,20110710,1,1,1,1,1,0,0
1234142,20110404,20110710,1,1,1,1,1,0,0
1234143,20110404,20110710,1,1,1,1,1,0,0
1234140,20110404,20110710,1,1,1,1,1,0,0
1234141,20110404,20110710,1,1,1,1,1,0,0
1261030,20110711,20111002,1,1,1,1,1,0,0
1261031,20110711,20111002,1,1,1,1,1,0,0
1261032,20110711,20111002,1,1,1,1,1,0,0
1261033,20110711,20111002,1,1,1,1,1,0,0
1261034,20110711,20111002,1,1,1,1,1,0,0
1261035,20110711,20111002,1,1,1,1,1,0,0
1261036,20110711,20111002,1,1,1,1,1,0,0
1261037,20110711,20111002,1,1,1,1,1,0,0
1261038,20110711,20111002,1,1,1,1,1,0,0
1261039,20110711,20111002,1,1,1,1,1,0,0
1232816,20110404,20110710,1,1,1,1,1,0,0
1232817,20110404,20110710,1,1,1,1,1,0,0
1232814,20110404,20110710,1,1,1,1,1,0,0
1232815,20110404,20110710,1,1,1,1,1,0,0
1232812,20110404,20110710,1,1,1,1,1,0,0
1232813,20110404,20110710,1,1,1,1,1,0,0
1232810,20110404,20110710,1,1,1,1,1,0,0
1232811,20110404,20110710,1,1,1,1,1,0,0
1229412,20110404,20110710,1,1,1,1,1,0,0
1229413,20110404,20110710,1,1,1,1,1,0,0
1229410,20110404,20110710,1,1,1,1,1,0,0
1229411,20110404,20110710,1,1,1,1,1,0,0
1229416,20110404,20110710,0,0,0,0,0,1,0
1229417,20110404,20110710,0,0,0,0,0,1,0
1229414,20110404,20110710,1,1,1,1,1,0,0
1229415,20110404,20110710,1,1,1,1,1,0,0
1232033,20110404,20110710,1,1,1,1,1,0,0
1264699,20110711,20111002,0,0,0,0,0,1,0
1289033,20110711,20111002,0,0,0,0,0,0,1
1258870,20110711,20111002,0,0,0,0,0,1,0
1233625,20110404,20110710,0,0,0,0,0,1,0
1258086,20110711,20111002,0,0,0,0,0,0,1
1257413,20110711,20111002,1,1,1,1,1,0,0
1258777,20110711,20111002,0,0,0,0,0,0,1
1235489,20110404,20110710,0,0,0,0,0,1,0
1256876,20110711,20111002,0,0,0,0,0,1,0
1256877,20110711,20111002,0,0,0,0,0,1,0
1256874,20110711,20111002,0,0,0,0,0,1,0
1256875,20110711,20111002,0,0,0,0,0,1,0
1256872,20110711,20111002,0,0,0,0,0,1,0
1256873,20110711,20111002,0,0,0,0,0,1,0
1256870,20110711,20111002,0,0,0,0,0,1,0
1256871,20110711,20111002,0,0,0,0,0,1,0
1256878,20110711,20111002,0,0,0,0,0,1,0
1256879,20110711,20111002,0,0,0,0,0,1,0
1288999,20110711,20111002,0,0,0,0,0,0,1
1260258,20110711,20111002,1,1,1,1,1,0,0
1288618,20110711,20111002,0,0,0,0,0,1,0
1256145,20110711,20111002,1,1,1,1,1,0,0
1257419,20110711,20111002,1,1,1,1,1,0,0
1257418,20110711,20111002,1,1,1,1,1,0,0
1264425,20110711,20111002,0,0,0,0,0,0,1
1288549,20110711,20111002,1,1,1,1,1,0,0
1288548,20110711,20111002,1,1,1,1,1,0,0
1288545,20110711,20111002,1,1,1,1,1,0,0
1288544,20110711,20111002,1,1,1,1,1,0,0
1288547,20110711,20111002,1,1,1,1,1,0,0
1288546,20110711,20111002,1,1,1,1,1,0,0
1288541,20110711,20111002,1,1,1,1,1,0,0
1288540,20110711,20111002,1,1,1,1,1,0,0
1288543,20110711,20111002,1,1,1,1,1,0,0
1288542,20110711,20111002,1,1,1,1,1,0,0
1288109,20110711,20111002,0,0,0,0,0,1,0
1258774,20110711,20111002,0,0,0,0,0,0,1
1232672,20110404,20110710,0,0,0,0,0,0,1
1232673,20110404,20110710,0,0,0,0,0,0,1
1232670,20110404,20110710,0,0,0,0,0,0,1
1232671,20110404,20110710,0,0,0,0,0,0,1
1232676,20110404,20110710,0,0,0,0,0,0,1
1232677,20110404,20110710,0,0,0,0,0,0,1
1232674,20110404,20110710,0,0,0,0,0,0,1
1232675,20110404,20110710,0,0,0,0,0,0,1
1232678,20110404,20110710,0,0,0,0,0,0,1
1232679,20110404,20110710,0,0,0,0,0,0,1
1257378,20110711,20111002,1,1,1,1,1,0,0
1260846,20110711,20111002,1,1,1,1,1,0,0
1260847,20110711,20111002,1,1,1,1,1,0,0
1260844,20110711,20111002,1,1,1,1,1,0,0
1260845,20110711,20111002,1,1,1,1,1,0,0
1260842,20110711,20111002,1,1,1,1,1,0,0
1260843,20110711,20111002,1,1,1,1,1,0,0
1260840,20110711,20111002,1,1,1,1,1,0,0
1260841,20110711,20111002,1,1,1,1,1,0,0
1258143,20110711,20111002,1,1,1,1,1,0,0
1260848,20110711,20111002,1,1,1,1,1,0,0
1260849,20110711,20111002,1,1,1,1,1,0,0
1228891,20110404,20110710,0,0,0,0,0,0,1
1228890,20110404,20110710,0,0,0,0,0,0,1
1228893,20110404,20110710,0,0,0,0,0,0,1
1228892,20110404,20110710,0,0,0,0,0,0,1
1228895,20110404,20110710,0,0,0,0,0,0,1
1228894,20110404,20110710,0,0,0,0,0,0,1
1231899,20110404,20110710,0,0,0,0,0,1,0
1231898,20110404,20110710,0,0,0,0,0,1,0
1231897,20110404,20110710,0,0,0,0,0,1,0
1228898,20110404,20110710,0,0,0,0,0,0,1
1231895,20110404,20110710,0,0,0,0,0,1,0
1231894,20110404,20110710,0,0,0,0,0,1,0
1231893,20110404,20110710,0,0,0,0,0,1,0
1231892,20110404,20110710,0,0,0,0,0,1,0
1231891,20110404,20110710,0,0,0,0,0,1,0
1231890,20110404,20110710,0,0,0,0,0,1,0
1259171,20110711,20111002,0,0,0,0,0,0,1
1259177,20110711,20111002,0,0,0,0,0,0,1
1258779,20110711,20111002,1,1,1,1,1,0,0
1231097,20110404,20110710,0,0,0,0,0,1,0
1231096,20110404,20110710,0,0,0,0,0,1,0
1231095,20110404,20110710,0,0,0,0,0,1,0
1231094,20110404,20110710,1,1,1,1,1,0,0
1231093,20110404,20110710,1,1,1,1,1,0,0
1231092,20110404,20110710,1,1,1,1,1,0,0
1231091,20110404,20110710,1,1,1,1,1,0,0
1231090,20110404,20110710,1,1,1,1,1,0,0
1258089,20110711,20111002,0,0,0,0,0,0,1
1258088,20110711,20111002,0,0,0,0,0,0,1
1257055,20110711,20111002,1,1,1,1,1,0,0
