fare_id,route_id,origin_id,destination_id,contains_id
10,822,,,
10,831,,,
10,823,,,
10,824,,,
10,826,,,
10,10,,,
10,828,,,
10,827,,,
10,825,,,
10,201,,,
1,61,,,
1,26,,,
1,200,,,
1,64,,,
1,40,,,
1,31,,,
1,47,,,
1,522,,,
1,73,,,
1,82,,,
1,53,,,
1,54,,,
1,321,,,
1,330,,,
1,62,,,
1,22,,,
1,27,,,
1,72,,,
1,70,,,
1,81,,,
1,55,,,
1,68,,,
1,35,,,
1,328,,,
1,25,,,
1,52,,,
1,51,,,
1,63,,,
1,304,,,
1,66,,,
1,60,,,
1,23,,,
1,12,,,
1,71,,,
1,77,,,
1,58,,,
1,57,,,
1,46,,,
3,900,,,
3,901,,,
3,902,,,
2,181,,,
2,102,,,
2,120,,,
2,122,,,
2,104,,,
2,180,,,
2,101,,,
2,182,,,
2,103,,,
2,121,,,
2,140,,,
2,168,,,
5,168,,,
5,120,,,
5,101,,,
5,102,,,
5,121,,,
5,180,,,
5,182,,,
5,103,,,
5,104,,,
5,122,,,
5,181,,,
5,140,,,
4,46,,,
4,27,,,
4,77,,,
4,70,,,
4,52,,,
4,522,,,
4,53,,,
4,304,,,
4,328,,,
4,73,,,
4,63,,,
4,35,,,
4,26,,,
4,64,,,
4,57,,,
4,47,,,
4,55,,,
4,58,,,
4,23,,,
4,60,,,
4,82,,,
4,321,,,
4,31,,,
4,54,,,
4,40,,,
4,81,,,
4,25,,,
4,12,,,
4,68,,,
4,330,,,
4,200,,,
4,71,,,
4,51,,,
4,22,,,
4,61,,,
4,62,,,
4,66,,,
4,72,,,
7,180,,,
7,168,,,
7,120,,,
7,140,,,
7,181,,,
7,101,,,
7,122,,,
7,104,,,
7,121,,,
7,182,,,
7,102,,,
7,103,,,
6,62,,,
6,12,,,
6,23,,,
6,61,,,
6,66,,,
6,60,,,
6,522,,,
6,73,,,
6,55,,,
6,26,,,
6,52,,,
6,328,,,
6,35,,,
6,53,,,
6,64,,,
6,47,,,
6,63,,,
6,200,,,
6,70,,,
6,27,,,
6,22,,,
6,304,,,
6,58,,,
6,77,,,
6,31,,,
6,82,,,
6,40,,,
6,68,,,
6,46,,,
6,25,,,
6,51,,,
6,81,,,
6,321,,,
6,330,,,
6,72,,,
6,57,,,
6,54,,,
6,71,,,
9,39,,,
9,88,,,
9,48,,,
9,16,,,
9,13,,,
9,65,,,
9,14,,,
9,89,,,
9,45,,,
9,32,,,
9,42,,,
9,49,,,
9,19,,,
9,11,,,
9,18,,,
9,17,,,
9,34,,,
9,37,,,
8,902,,,
8,901,,,
8,900,,,
