stop_lat,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type
37.33926616,1,-121.842318728,5427,,KING & STORY NS,0
37.42253871,1,-122.142661606,4446,,PAGE MILL & EL CAMINO,0
37.32328628,1,-121.93356817,593,,STEVENS CREEK & BRADLEY,0
37.42105159,1,-122.143905394,4447,,PAGE MILL & RAMOS,0
37.3908001,1,-121.840634339,4027,,PENITENCIA CREEK & GRIDLEY,0
37.370526577,1,-121.84207928,4025,,MCKEE & CAPITOL,0
37.364718176,1,-121.850630506,4022,,MCKEE & JACKSON,0
37.365568024,1,-121.84938378,4023,,MCKEE & JACKSON,0
37.361736396,1,-121.855064402,4020,,MCKEE & RANCHO VERDE,0
37.363474001,1,-121.852456282,4021,,MCKEE & JOSE FIGUERES,0
37.391797627,1,-121.836053382,4028,,PENITENCIA CREEK & LINDA VISTA,0
37.39167923,1,-121.833665697,4029,,TOYON & FREEMAN,0
37.40636748,1,-122.12024702,344,,EL CAMINO & TAMARACK,0
37.404254843,1,-122.117976369,345,,EL CAMINO & LOS ALTOS,0
37.40091794,1,-122.113278271,346,,EL CAMINO & SAN ANTONIO,0
37.399330758,1,-122.110319663,347,,EL CAMINO & SHOWERS,0
37.416091233,1,-122.128993984,340,,EL CAMINO & LOS ROBLES,0
37.414120399,1,-122.1265306,341,,EL CAMINO & VISTA,0
37.412050521,1,-122.124843572,342,,EL CAMINO & MAYBELL,0
37.409657551,1,-122.122913708,343,,EL CAMINO & ARASTRADERO,0
37.326581387,1,-121.915251013,3997,,PARK & YOSEMITE,0
37.328583804,1,-121.917659706,3996,,PARK & HANCHETT,0
37.330990226,1,-121.920580482,3995,,PARK & ROSECREST,0
37.333375665,1,-121.923445258,3994,,PARK & NAGLEE,0
37.398204622,1,-122.107829642,348,,EL CAMINO & JORDAN,0
37.336676582,1,-121.927422374,3992,,PARK & HEDDING,0
37.338754282,1,-121.929939456,3991,,PARK & DAVIS,0
37.339670685,1,-121.931378348,3990,,NEWHALL & PARK,0
37.344685975,1,-121.932393292,457,,THE ALAMEDA & PORTOLA,0
37.378962486,1,-122.046929076,2185,,WASHINGTON & MARY,0
37.371069867,1,-122.016007195,1296,,EVELYN & WOLFE,0
37.257423011,1,-121.860278761,4733,,OHLONE-CHYNOWETH STATION (1),0
37.253943659,1,-121.866822711,4730,,OAKRIDGE STATION (0),0
37.257992959,1,-121.85966629,4731,,OHLONE-CHYNOWETH STATION (0),0
37.236668132,1,-121.789140853,4736,,SANTA TERESA STATION (0),0
37.242731596,1,-121.803159131,4737,,COTTLE STATION (0),0
37.253220937,1,-121.867031875,4734,,OAKRIDGE STATION (1),0
37.343480731,1,-122.032165956,2319,,SUNNYVALE-SARATOGA & HARWICK,0
37.330804872,1,-122.032042534,2316,,DE ANZA & MARIANI,0
37.338066175,1,-122.03209308,2317,,SUNNYVALE-SARATOGA & HOMESTEAD,0
37.248054577,1,-121.831338555,4738,,SNELL STATION (0),0
37.253149716,1,-121.841811246,4739,,BLOSSOM HILL STATION (0),0
37.316638819,1,-122.032100358,2312,,DE ANZA & PACIFICA,0
37.320069109,1,-122.032112741,2313,,DE ANZA & SUNRISE,0
37.26499194,1,-122.032064945,2310,,SARATOGA-SUNNYVALE & REID,0
37.26285922,1,-122.032064337,2311,,SARATOGA-SUNNYVALE & MARION,0
37.013673344,1,-121.587746776,299,,1ST & WREN,0
37.003743401,1,-121.566720632,296,,GILROY CALTRAIN STATION,0
37.005259346,1,-121.573734229,294,,6TH & HANNA,0
37.005742191,1,-121.572106122,295,,6TH & ROSANNA,0
37.004359228,1,-121.576781719,293,,6TH & PRINCEVALLE,0
37.303823631,1,-121.913159387,739,,WILLOW & MERIDIAN,0
37.251528287,1,-121.789772798,3773,,SILVERLEAF & GRANDWELL,0
37.254638937,1,-121.79512428,3772,,FORD & MAYLAND,0
37.252935283,1,-121.796701919,3771,,FORD & MONTEREY,0
37.265803391,1,-121.810035238,3770,,ROEDER & GREYGHOST,0
37.229604428,1,-121.774603984,3776,,BERNAL & VIA DEL ORO,0
37.232154888,1,-121.772519629,3775,,BERNAL & SAN IGNACIO,0
37.250072026,1,-121.787181161,3774,,SILVERLEAF & FLINTWELL,0
37.3440843,1,-121.808402014,3687,,WHITE & OCALA,0
37.274278231,1,-121.839488747,3779,,SNELL & GOLD RUN,0
37.275449393,1,-121.840710058,3778,,SNELL & CAPITOL EXPWY,0
37.246772489,1,-121.972851776,2782,,WINCHESTER & VALLEY OAK,0
37.346334,1,-121.810335369,3686,,WHITE & ROCKY MOUNTAIN,0
37.331921138,1,-121.88645595,4655,,SAN CARLOS & 2ND,0
37.333628002,1,-121.88448928,4654,,4TH & SAN CARLOS,0
37.323124245,1,-121.962558604,585,,STEVENS CREEK & HAROLD,0
37.348042365,1,-121.811923123,3685,,WHITE & MCKINLEY,0
37.031292348,1,-121.581088056,278,,MONTEREY & FARRELL,0
37.028850857,1,-121.579804667,279,,MONTEREY & LAS ANIMAS,0
37.352029927,1,-121.815542185,3684,,WHITE & SIENNA,0
37.323009433,1,-121.979208571,581,,STEVENS CREEK & LOPINA,0
37.323422808,1,-121.955628494,642,,STEVENS CREEK & HENRY,0
37.382532986,1,-122.032398064,2262,,MATHILDA & CALIFORNIA,0
37.386732153,1,-122.031040672,2263,,MATHILDA & INDIO,0
37.371969348,1,-122.035825865,2260,,MATHILDA & OLIVE,0
37.373225191,1,-122.035387877,2261,,MATHILDA & IOWA,0
37.401422874,1,-122.026836659,2266,,MATHILDA & ROSS,0
37.40595085,1,-122.025886737,2267,,MATHILDA & MOFFETT PARK,0
37.390236667,1,-122.030228684,2264,,MATHILDA & MAUDE,0
37.39421738,1,-122.028961125,2265,,MATHILDA & SAN ALESO,0
37.444845711,1,-121.906254495,2442,,JACKLIN & MILPITAS,0
37.445873726,1,-121.904901334,2443,,JACKLIN & JACKLIN PLACE,0
37.416245829,1,-121.920672863,2440,,MCCARTHY & ALDER,0
37.418858746,1,-121.920653914,2441,,MCCARTHY & BELLEW,0
37.454736097,1,-121.902593128,2446,,WASHINGTON & ESCUELA,0
37.453920145,1,-121.905941566,2447,,ARIZONA & WASHINGTON,0
37.447006696,1,-121.90011648,2444,,ESCUELA & JACKLIN,0
37.451628725,1,-121.90004885,2445,,ESCUELA & MILPITAS HIGH SCHOOL,0
37.455181019,1,-121.906663799,2448,,ARIZONA & COELHO,0
37.456934559,1,-121.907691316,2449,,ARIZONA & BOULDER,0
37.322600948,1,-121.825262112,47,,TULLY & KING,0
37.249357472,1,-121.866698899,108,,WINFIELD & BLOSSOM HILL,0
37.253290431,1,-121.866546694,109,,WINFIELD & BLOSSOM RIVER,0
37.222243085,1,-121.86274919,102,,ALMADEN & CAMDEN,0
37.225875891,1,-121.867474217,103,,ALMADEN & CLOVERHILL,0
37.216434157,1,-121.854704384,100,,ALMADEN & TRINIDAD (FS),0
37.218454566,1,-121.857643489,101,,ALMADEN & TRINIDAD (MD),0
37.240637789,1,-121.874312931,106,,ALMADEN & COLEMAN,0
37.244785903,1,-121.870628228,107,,ALMADEN LIGHT RAIL STATION,0
37.229747797,1,-121.870301657,104,,ALMADEN & REDMOND,0
37.235760768,1,-121.872686613,105,,ALMADEN & WINFIELD,0
37.40277696,1,-122.009550654,4813,,FAIR OAKS STATION (0),0
37.403396305,1,-122.000874433,4812,,VIENNA STATION (0),0
37.403572231,1,-121.989663361,4811,,REAMWOOD STATION (0),0
37.403308941,1,-121.979862011,4810,,OLD IRONSIDES STATION (0),0
37.404702725,1,-122.049989466,4817,,BAYSHORE NASA STATION (0),0
37.409403535,1,-122.027132324,4816,,LOCKHEED MARTIN STATION (0),0
37.411984932,1,-122.019314868,4815,,BORREGAS STATION (0),0
37.409466337,1,-122.011702814,4814,,CROSSMAN STATION (0),0
37.391772631,1,-122.058999988,4819,,WHISMAN STATION (0),0
37.395428162,1,-122.052209914,4818,,MIDDLEFIELD STATION (0),0
37.366587656,1,-122.013096873,1297,,REED & WOLFE,0
37.316165234,1,-121.93921597,820,,MOORPARK & THORNTON,0
37.286571298,1,-121.922659344,3155,,LEIGH & CAMPBELL,0
37.289031417,1,-121.922688467,3154,,LEIGH & MC BAIN,0
37.399166138,1,-122.074494694,2038,,MOFFETT & CYPRESS POINT,0
37.271853925,1,-121.920942602,3159,,LEIGH & COIT,0
37.390055488,1,-121.877991172,3519,,FLICKINGER & VILLAGETREE,0
37.386317098,1,-121.874016002,3518,,FLICKINGER & AUTUMN,0
37.370687542,1,-121.855356621,3513,,JACKSON & ASHGLEN,0
37.369016798,1,-121.85371668,3512,,JACKSON & BRUSHGLEN,0
37.365777311,1,-121.85046551,3511,,JACKSON & MCKEE,0
37.363736163,1,-121.848522141,3510,,JACKSON & MAMMOTH,0
37.383014961,1,-121.870510252,3517,,FLICKINGER & HIKIDO,0
37.380438125,1,-121.867909813,3516,,FLICKINGER & BERRYESSA,0
37.378862516,1,-121.863333586,3515,,JACKSON & PORT,0
37.374542421,1,-121.859086347,3514,,JACKSON & MABURY,0
37.34927285,1,-121.911069193,1655,,HEDDING & RUFF,0
37.31668182,1,-121.91153501,5407,,PARKMOOR & RACE,0
37.31967559,1,-121.91292492,5406,,SADDLE RACK & MERIDIAN,0
37.373176233,1,-122.077988616,1434,,GRANT & CUESTA,0
37.212782475,1,-121.849521646,99,,ALMADEN & SHADOWBROOK,0
37.210033103,1,-121.846541761,98,,ALMADEN & VIA VALIENTE,0
37.370954261,1,-122.077967219,1435,,GRANT & SLEEPER,0
37.381520556,1,-122.100580533,2140,,EL MONTE & CLARK,0
37.294229,1,-121.936386,5402,,HAMILTON LIGHT RAIL,0
37.319838171,1,-121.877307769,3207,,1ST & KEYES,0
37.334217626,1,-121.923569415,1622,,NAGLEE & PARK,0
37.312981707,1,-121.870293398,3205,,MONTEREY & UPRR XNG,0
37.328310602,1,-121.931219943,1620,,NAGLEE & BASCOM,0
37.344458034,1,-121.913099153,1627,,COLEMAN & EMORY,0
37.304084642,1,-121.861435931,3202,,MONTEREY & TULLY,0
37.340368604,1,-121.913567456,1625,,TAYLOR & STOCKTON,0
37.338896662,1,-121.915622466,1624,,TAYLOR & ELM,0
37.366825664,1,-121.941636382,1999,,DE LA CRUZ & MARTIN,0
37.371475211,1,-121.94283333,1998,,DE LA CRUZ & CENTRAL,0
