block_id,route_id,direction_id,trip_headsign,service_id,trip_id
,901,,LRT SANTA TERESA - ALUM ROCK,1288718,1288718
,901,,LRT SANTA TERESA - ALUM ROCK,1288719,1288719
,61,,61 NB SIERRA & PIEDMONT,1231468,1231468
,61,,61 NB SIERRA & PIEDMONT,1231469,1231469
,61,,61 NB SIERRA & PIEDMONT,1231466,1231466
,61,,61 NB SIERRA & PIEDMONT,1231467,1231467
,61,,61 NB SIERRA & PIEDMONT,1231464,1231464
,61,,61 NB SIERRA & PIEDMONT,1231465,1231465
,61,,61 NB SIERRA & PIEDMONT,1231462,1231462
,61,,61 NB SIERRA & PIEDMONT,1231463,1231463
,61,,61 NB SIERRA & PIEDMONT,1231460,1231460
,61,,61 NB SIERRA & PIEDMONT,1231461,1231461
,32,,32 EB SANTA CLARA TRANSIT CENTER,1258507,1258507
,66,,66 NB MILPITAS/DIXON RD,1260760,1260760
,901,,LRT SANTA TERESA - ALUM ROCK,1288710,1288710
,47,,47 SB GREAT MALL,1259157,1259157
,901,,LRT SANTA TERESA - ALUM ROCK,1288711,1288711
,901,,LRT SANTA TERESA - ALUM ROCK,1288712,1288712
,32,,32 WB SAN ANTONIO SHOPPING CENTER,1258500,1258500
,901,,LRT SANTA TERESA - ALUM ROCK,1288713,1288713
,901,,LRT SANTA TERESA - ALUM ROCK,1288714,1288714
,42,,42 NB MONTEREY & SENTER,1258897,1258897
,901,,LRT SANTA TERESA - ALUM ROCK,1288715,1288715
,64,,64 NB MCKEE & WHITE,1260514,1260514
,901,,LRT SANTA TERESA - ALUM ROCK,1288716,1288716
,901,,LRT SANTA TERESA - ALUM ROCK,1288717,1288717
,23,,23 EB ALUM ROCK TRANSIT CENTER,1257408,1257408
,64,,64 NB MCKEE & WHITE,1260515,1260515
,10,,10 WB SANTA CLARA TRANSIT CENTER VIA AIRPORT,1227810,1227810
,10,,10 WB SANTA CLARA TRANSIT CENTER VIA AIRPORT,1227811,1227811
